sensor,value,time
boiler_HWST,102.323,2020-09-25 20:47:11.350156+00:00
boiler_HWRT,99.441,2020-09-25 20:47:11.350156+00:00
boiler_ReheatHWRT,97.676,2020-09-25 20:47:11.350156+00:00
boiler_BoilerAlrm,Off,2020-09-25 20:47:11.350156+00:00
boiler_Pmp1Prv,Off,2020-09-25 20:47:11.350156+00:00
boiler_Pmp2Prv,On,2020-09-25 20:47:11.350156+00:00
boiler_Pmp3Prv,Off,2020-09-25 20:47:11.350156+00:00
boiler_Pmp4Prv,Off,2020-09-25 20:47:11.350156+00:00
boiler_Pmp5Prv,Off,2020-09-25 20:47:11.350156+00:00
boiler_OAT,77.102,2020-09-25 20:47:11.350156+00:00
boiler_EmerShutDn,Off,2020-09-25 20:47:11.350156+00:00
boiler_OAH,0.154,2020-09-25 20:47:11.350156+00:00
boiler_BoilerRmTmp,80.367,2020-09-25 20:47:11.350156+00:00
boiler_Pmp8Prv,On,2020-09-25 20:47:11.350156+00:00
rtu1_PressBldg,0.007,2020-09-25 20:47:15.752089+00:00
rtu1_RACO2,639.92,2020-09-25 20:47:15.752089+00:00
rtu1_RAH,0.335,2020-09-25 20:47:15.752089+00:00
rtu1_SFanPrv,On,2020-09-25 20:47:15.752089+00:00
rtu1_EFan2Prv,On,2020-09-25 20:47:15.752089+00:00
rtu2_SFanPrv,On,2020-09-25 20:47:21.151188+00:00
rtu2_RAH,0.409,2020-09-25 20:47:21.151188+00:00
rtu2_RACO2,254.254,2020-09-25 20:47:21.151188+00:00
rtu2_PressBldg,0,2020-09-25 20:47:21.151188+00:00
rtu2_ExFan1Prv,On,2020-09-25 20:47:21.151188+00:00
vav1.1_RMT,72.9,2020-09-25 20:47:26.654555+00:00
vav1.1_RMT_UH4,81.22,2020-09-25 20:47:26.654555+00:00
vav1.1_DAT,63.91,2020-09-25 20:47:26.654555+00:00
vav1.1_VP,0.37,2020-09-25 20:47:26.654555+00:00
vav1.1_AdjStPt,-1.871,2020-09-25 20:47:26.654555+00:00
vav1.10_VP,0.021,2020-09-25 20:47:32.084338+00:00
vav1.10_DAT,56.52,2020-09-25 20:47:32.084338+00:00
vav1.10_RMT,71.34,2020-09-25 20:47:32.084338+00:00
vav1.10_AdjStPt,-1.871,2020-09-25 20:47:32.084338+00:00
vav1.10_Ovr,Off,2020-09-25 20:47:32.084338+00:00
vav1.2_VP,0.021,2020-09-25 20:47:37.457943+00:00
vav1.2_DAT,81.58,2020-09-25 20:47:37.457943+00:00
vav1.2_RMT,74.11,2020-09-25 20:47:37.457943+00:00
vav1.2_AdjStPt,2,2020-09-25 20:47:37.457943+00:00
vav1.3_RMT_A,74.11,2020-09-25 20:47:42.950118+00:00
vav1.3_AdjStPt,-1.975,2020-09-25 20:47:42.950118+00:00
vav1.3_VP,0.021,2020-09-25 20:47:42.950118+00:00
vav1.3_RMT_B,72.72,2020-09-25 20:47:42.950118+00:00
vav1.3_RMT_C,72.9,2020-09-25 20:47:42.950118+00:00
vav1.3_RMT_D,73.41,2020-09-25 20:47:42.950118+00:00
vav1.3.2_DAT,60.67,2020-09-25 20:47:48.350233+00:00
vav1.4_RMT_A,76.38,2020-09-25 20:47:53.766066+00:00
vav1.4_DAT,63.4,2020-09-25 20:47:53.766066+00:00
vav1.4_VP,0.438,2020-09-25 20:47:53.766066+00:00
vav1.4_RMT_B,72.21,2020-09-25 20:47:53.766066+00:00
vav1.4_AdjStPt,0.112,2020-09-25 20:47:53.766066+00:00
vav1.4_Ovr,Off,2020-09-25 20:47:53.766066+00:00
vav1.5_DAT,56.34,2020-09-25 20:47:59.150093+00:00
vav1.5_RMT,70.48,2020-09-25 20:47:59.150093+00:00
vav1.5_VP,0.123,2020-09-25 20:47:59.150093+00:00
vav1.6_RMT_C,69.27,2020-09-25 20:48:04.531008+00:00
vav1.6_RMT_UH5,73.36,2020-09-25 20:48:04.531008+00:00
vav1.6_RMT_B,68.41,2020-09-25 20:48:04.531008+00:00
vav1.6_VP,0.032,2020-09-25 20:48:04.531008+00:00
vav1.6_DAT,56.69,2020-09-25 20:48:04.531008+00:00
vav1.6_RMT_A,73.76,2020-09-25 20:48:04.531008+00:00
vav1.7_VP,0.016,2020-09-25 20:48:06.051723+00:00
vav1.7_DAT,56.52,2020-09-25 20:48:06.051723+00:00
vav1.7_RMT,71.17,2020-09-25 20:48:06.051723+00:00
vav1.7_AdjStPt,0.741,2020-09-25 20:48:06.051723+00:00
vav1.8_VP,0.023,2020-09-25 20:48:11.450118+00:00
vav1.8_DAT,85.15,2020-09-25 20:48:11.450118+00:00
vav1.8_RMT,73.59,2020-09-25 20:48:11.450118+00:00
vav1.8_AdjStPt,2,2020-09-25 20:48:11.450118+00:00
vav1.9_VP,0.007,2020-09-25 20:48:12.888241+00:00
vav1.9_DAT,56,2020-09-25 20:48:12.888241+00:00
vav1.9_RMT_UH2,74.05,2020-09-25 20:48:12.888241+00:00
vav1.9_RMT,71.69,2020-09-25 20:48:12.888241+00:00
vav1.9_AdjStPt,1.032,2020-09-25 20:48:12.888241+00:00
vav2.1_VP,0.124,2020-09-25 20:48:14.295548+00:00
vav2.1_DAT,72.84,2020-09-25 20:48:14.295548+00:00
vav2.1_RMT_B,70.83,2020-09-25 20:48:14.295548+00:00
vav2.1_RMT_A,73.07,2020-09-25 20:48:14.295548+00:00
vav2.1_RMT_C,72.38,2020-09-25 20:48:14.295548+00:00
vav2.1_AdjStPt,2,2020-09-25 20:48:14.295548+00:00
vav2.10_RMT_A,74.99,2020-09-25 20:48:15.699015+00:00
vav2.10_RMT_B,71.52,2020-09-25 20:48:15.699015+00:00
vav2.10_DAT,56,2020-09-25 20:48:15.699015+00:00
vav2.10_VP,0.084,2020-09-25 20:48:15.699015+00:00
vav2.10_AdjStPt,-0.774,2020-09-25 20:48:15.699015+00:00
vav2.11_VP,0.08,2020-09-25 20:48:17.190026+00:00
vav2.11_DAT,54.95,2020-09-25 20:48:17.190026+00:00
vav2.11_RMT_B,72.72,2020-09-25 20:48:17.190026+00:00
vav2.11_RMT_A,71,2020-09-25 20:48:17.190026+00:00
vav2.11_AdjStPt,-2,2020-09-25 20:48:17.190026+00:00
vav2.12_RMT_A,73.07,2020-09-25 20:48:18.450817+00:00
vav2.12_DAT,55.48,2020-09-25 20:48:18.450817+00:00
vav2.12_VP,0.027,2020-09-25 20:48:18.450817+00:00
vav2.12_RMT_B,72.03,2020-09-25 20:48:18.450817+00:00
vav2.12_AdjStPt,0.371,2020-09-25 20:48:18.450817+00:00
vav2.13_RMT_A,74.46,2020-09-25 20:48:22.857396+00:00
vav2.13_DAT,74.57,2020-09-25 20:48:22.857396+00:00
vav2.13_VP,0.039,2020-09-25 20:48:22.857396+00:00
vav2.13_RMT_B,73.76,2020-09-25 20:48:22.857396+00:00
vav2.13_AdjStPt,1.282,2020-09-25 20:48:22.857396+00:00
vav2.14_DAT,57.38,2020-09-25 20:48:28.305592+00:00
vav2.14_RMT,72.38,2020-09-25 20:48:28.305592+00:00
vav2.14_VP,0.061,2020-09-25 20:48:28.305592+00:00
vav2.15_DAT,65.45,2020-09-25 20:48:32.752223+00:00
vav2.15_RMT,71.34,2020-09-25 20:48:32.752223+00:00
vav2.15_VP,0.062,2020-09-25 20:48:32.752223+00:00
vav2.16_RMT_A,71.69,2020-09-25 20:48:38.155429+00:00
vav2.16_DAT,55.3,2020-09-25 20:48:38.155429+00:00
vav2.16_VP,0.031,2020-09-25 20:48:38.155429+00:00
vav2.16_RMT_B,71.52,2020-09-25 20:48:38.155429+00:00
vav2.16_AdjStPt,1.354,2020-09-25 20:48:38.155429+00:00
vav2.2_RMT_B,70.48,2020-09-25 20:48:43.449535+00:00
vav2.2_VP,0.031,2020-09-25 20:48:43.449535+00:00
vav2.2_DAT,57.03,2020-09-25 20:48:43.449535+00:00
vav2.2_RMT_A,70.83,2020-09-25 20:48:43.449535+00:00
vav2.2_AdjStPt,-1.895,2020-09-25 20:48:43.449535+00:00
vav2.3_RMT_A,71.52,2020-09-25 20:48:47.878934+00:00
vav2.3_DAT,66.65,2020-09-25 20:48:47.878934+00:00
vav2.3_VP,0.151,2020-09-25 20:48:47.878934+00:00
vav2.3_RMT_B,73.41,2020-09-25 20:48:47.878934+00:00
vav2.3_RMT_UH3,71.98,2020-09-25 20:48:47.878934+00:00
vav2.3_AdjStPt,1.879,2020-09-25 20:48:47.878934+00:00
vav2.4_VP,0.013,2020-09-25 20:48:52.291308+00:00
vav2.4_RMT,72.38,2020-09-25 20:48:52.291308+00:00
vav2.4_DAT,58.59,2020-09-25 20:48:52.291308+00:00
vav2.5_RMT_A,71.69,2020-09-25 20:48:54.749646+00:00
vav2.5_DAT,55.65,2020-09-25 20:48:54.749646+00:00
vav2.5_VP,0.08,2020-09-25 20:48:54.749646+00:00
vav2.5_RMT_B,71,2020-09-25 20:48:54.749646+00:00
vav2.5_AdjStPt,-1.467,2020-09-25 20:48:54.749646+00:00
vav2.5_Ovr,Off,2020-09-25 20:48:54.749646+00:00
vav2.6_RMT_B,72.21,2020-09-25 20:48:59.149606+00:00
vav2.6_VP,0.087,2020-09-25 20:48:59.149606+00:00
vav2.6_DAT,59.62,2020-09-25 20:48:59.149606+00:00
vav2.6_RMT_A,70.83,2020-09-25 20:48:59.149606+00:00
vav2.6_Ovr,Off,2020-09-25 20:48:59.149606+00:00
vav2.7_VP,0.28,2020-09-25 20:49:03.550015+00:00
vav2.7_DAT,71.64,2020-09-25 20:49:03.550015+00:00
vav2.7_RMT_A,72.38,2020-09-25 20:49:03.550015+00:00
vav2.7_RMT_B,69.62,2020-09-25 20:49:03.550015+00:00
vav2.7_RMT_C,71.52,2020-09-25 20:49:03.550015+00:00
